"id","profileName","text","date","title","rating","images","helpful","Colour","Size name"
"R22C2WH5W9FXVO","Dhineshkumar","i was using macbook air early 2015 before. It was performing ok since i purchased until 2022. But i started facing unexpected shutdown due to poor battery condition. hence i upgraded to M1 Mac in exchange offer. I got around 18k exchange value which was surprising for me.After i started using this i fell in love with this due to following pros1. Excellent battery life (mora than 12 hours continues usage)2. Excellent performance compared to my previous macbook 2015 model (more than 200% bump in performance i felt)3. Excellent display qualityI did not feel any cons during my usage on past 6 months. Only concern is screen is ultra-fingerprint magnet. You need a cleaning cloth always with you which I am carrying with me all the time with IPA liquid for better cleaning performance. But i did not felt about it compared to the performance it was given. Also fingerprint wont be noticeable if the screen is onI thought of buying a screen card for mac (actually I purchased on amazon) to protect form fingerprint. Luckily it was damaged on transit. After that again I did some research and found lot of articles was saying using screen card will void display warranty of mac and screen card will eliminate the small gap given between the screen and keyboard while it closed which will lead to lid will not close properly or addition pressure will be put on screen while it closed which may damage the screen. Hence, I claimed refund instead of replacement product and purchased IP liquid to clean the screen.If you're a frequent traveler along with MacBook, you may notice keyboard marks on screen which may become permanent if it's not cleaned periodically. So, I purchased IP liquid and microfiber cloth to maintain it. It costs me around 200 for both (250ml vetro power IP liquid in amazon and microfiber cloth from DMART). I believe this will last me at least for a year or 2 which is sufficient for me to get another pair of this cleaning product instead of buying 1000+ rupees screen card. This liquid is useful in cleaning my other gadgets as well also during the Screen card installation on my own with cheaper option available online compared to products available in local market with 200+ rupees which is available online for 100+ rupees","Reviewed in India on 14 November 2022","Awesome Product",5,"","8","Gold","256 GB"
"R1OUP6ASTHRLMT","Uday Kumar","Value for money laptopIf u r looking for programming this is the oneIt has better power efficiency,better screen quality, smooth & fast UI &  small in sizeM1 is  still better option...  M2  is good but  i think  there is no huge improvement between  m2 & m1  soo  if u hava 80k go for m1 mac instead of m2  if  u have high budget  go  for  pro model's dont go for basic ones","Reviewed in India on 20 October 2022","Loving it!!!",4,"","6","Space Grey","256 GB"
"R3EV3OAM7NL8ZV","Dharmshil","Camera quality not good","Reviewed in India on 6 December 2022","Awesome 😎",5,"",0,"Gold","256 GB"
"R3ONV0L6IV1OSY","Sneha","Loved everything about this one. This one was a love at first sight but took me years to buy. I am really happy with the delivery and genuineness and it was worth it for INR 82,990. Thank you Amazon.","Reviewed in India on 20 November 2022","Classy, Stylish and Slim",5,"",1,"Space Grey","256 GB"
"R113PRVYACHMLO","Aashik cg",,"Reviewed in India on 7 December 2022","Great",5,"https://m.media-amazon.com/images/I/716y8MbOwhL.jpg",0,"Gold","256 GB"
"RJYT034DT054O","Khushroo","Excellent MacBook Air with an excellent configuration for the office or home. If anybody is looking for a chance to buy a new MacBook then surely I would recommend this one as it works very smoothly.","Reviewed in India on 4 December 2022","Very Good MacBook Air",5,"",0,"Gold","512GB"
"R1XZ34GW7BN8MF","Harsh Raj","Hinge issues... Sometimes don't open by single handed... Rest everything is heaven","Reviewed in India on 2 November 2022","Reached expectations",4,"https://m.media-amazon.com/images/I/61vJV0gDnlL.jpg","2","Space Grey","256 GB"
"R1N08YMHQJYBKV","Shweta soni","Everything is awesome except camera and charging speed, for these two factors, one can go for m2 air, those 20k worth it, for future scope. I don't think read write speed would have that deep impact.","Reviewed in India on 26 October 2022","Best value for money, bad charging speed",4,"","4","Space Grey","256 GB"
"R1PTZ7Z46EARX5","Darshane Shivam Vaibhav","Bought 2 of these for Air and Pro Macs and fits perfectly for both, image attached.","Reviewed in India on 20 November 2022","Perfect case for Macbook Air and Pro 13.3 inch",5,"https://m.media-amazon.com/images/I/61BjfgiGxZL.jpg",0,"Space Grey","256 GB"
"R32AMX5RTPX59U","NIRAJ KUMAR","Gud superpower delivery by Amazon on time","Reviewed in India on 25 November 2022","Superb laptop so smooth and such beautiful battery performance",5,"",0,"Space Grey","256 GB"
